Name,Team,Birthdate,Nationality,Weight,Height,Specialty
Oliver  Naesen,Decathlon AG2R La Mondiale Team,9/16/90,Belgium,74,1.84,All-rounder
Aurélien  Paret-Peintre,Decathlon AG2R La Mondiale Team,2/27/96,France,64,1.84,All-rounder
Callum  Scotson,Decathlon AG2R La Mondiale Team,8/10/96,Australia,77,1.83,All-rounder
Bastien  Tronchon,Decathlon AG2R La Mondiale Team,3/29/02,France,72,1.85,All-rounder
Primož  Roglič,Red Bull - BORA - hansgrohe,10/29/89,Slovenia,65,1.77,Leader
Florian  Lipowitz,Red Bull - BORA - hansgrohe,9/21/00,Germany,68,1.81,Leader
Aleksandr  Vlasov,Red Bull - BORA - hansgrohe,4/23/96,Russia,68,1.86,Climber
Laurence  Pithie,Red Bull - BORA - hansgrohe,7/17/02,New Zealand,74,1.85,All-rounder
Mick van Dijke,Red Bull - BORA - hansgrohe,3/15/00,Netherlands,74,1.9,All-rounder
Gianni  Moscon,Red Bull - BORA - hansgrohe,4/20/94,Italy,71,1.8,All-rounder
Danny van Poppel,Red Bull - BORA - hansgrohe,7/26/93,Netherlands,82,1.84,Sprinter
Jordi  Meeus,Red Bull - BORA - hansgrohe,7/1/98,Belgium,80,1.9,Sprinter
Alex  Aranburu,Cofidis,9/19/95,Spain,63,1.78,Sprinter
Emanuel  Buchmann,Cofidis,11/18/92,Germany,59,1.8,Leader
Bryan  Coquard,Cofidis,4/25/92,France,59,1.71,Sprinter
Ion  Izagirre,Cofidis,2/4/89,Spain,60,1.73,Climber
Alexis  Renard,Cofidis,6/1/99,France,74,1.86,All-rounder
Benjamin  Thomas,Cofidis,9/12/95,France,68,1.79,All-rounder
Damien  Touzé,Cofidis,7/7/96,France,69,1.74,All-rounder
Dylan  Teuns,Cofidis,3/1/92,Belgium,64,1.81,All-rounder
Mathieu van der Poel,Alpecin - Deceuninck,1/19/95,Netherlands,75,1.84,All-rounder
Jasper  Philipsen,Alpecin - Deceuninck,3/2/98,Belgium,75,1.76,Sprinter
Kaden  Groves,Alpecin - Deceuninck,12/23/98,Australia,76,1.76,Sprinter
Jonas  Rickaert,Alpecin - Deceuninck,2/7/94,Belgium,88,1.87,All-rounder
Emiel  Verstrynge,Alpecin - Deceuninck,2/4/02,Belgium,69,1.89,All-rounder
Xandro  Meurisse,Alpecin - Deceuninck,1/31/92,Belgium,71,1.81,Climber
Silvan  Dillier,Alpecin - Deceuninck,8/3/90,Switzerland,75,1.83,All-rounder
Gianni  Vermeersch,Alpecin - Deceuninck,11/19/92,Belgium,68,1.73,All-rounder
Raúl  García Pierna,Arkéa - B&B Hotels,2/23/01,Spain,67,1.75,All-rounder
Arnaud  Démare,Arkéa - B&B Hotels,8/26/91,France,76,1.81,Sprinter
Amaury  Capiot,Arkéa - B&B Hotels,6/25/93,Belgium,69,1.86,Sprinter
Kévin  Vauquelin,Arkéa - B&B Hotels,4/26/01,France,69,1.76,Leader
Cristián  Rodríguez,Arkéa - B&B Hotels,3/3/95,Spain,59,1.78,Climber
Ewen  Costiou,Arkéa - B&B Hotels,11/10/02,France,64,1.76,Climber
Mathis Le Berre,Arkéa - B&B Hotels,4/16/01,France,68,1.76,All-rounder
Clément  Venturini,Arkéa - B&B Hotels,10/16/93,France,60,1.65,Sprinter
Michał  Kwiatkowski,INEOS Grenadiers,6/2/90,Poland,68,1.76,All-rounder
Carlos  Rodríguez,INEOS Grenadiers,2/2/01,Spain,67,1.83,Leader
Filippo  Ganna,INEOS Grenadiers,7/25/96,Italy,83,1.93,All-rounder
Geraint  Thomas,INEOS Grenadiers,5/25/86,Great Britain,71,1.83,Leader
Thymen  Arensman,INEOS Grenadiers,12/4/99,Netherlands,68,1.9,Climber
Laurens De Plus,INEOS Grenadiers,9/4/95,Belgium,67,1.89,All-rounder
Tobias  Foss,INEOS Grenadiers,5/25/97,Norway,74,1.84,All-rounder
Biniam  Girmay,Intermarché - Wanty,4/2/00,Eritrea,70,1.84,Sprinter
Hugo  Page,Intermarché - Wanty,7/24/01,France,71,1.85,Sprinter
Laurenz  Rex,Intermarché - Wanty,12/15/99,Belgium,82,1.93,All-rounder
Georg  Zimmermann,Intermarché - Wanty,10/11/97,Germany,70,1.81,Climber
Louis  Barré,Intermarché - Wanty,4/6/00,France,68,1.84,All-rounder
Vito  Braet,Intermarché - Wanty,11/2/00,Belgium,68,1.84,All-rounder
Jonas  Rutsch,Intermarché - Wanty,1/24/98,Germany,82,1.97,All-rounder
Roel van Sintmaartensdijk,Intermarché - Wanty,5/8/01,Netherlands,77,1.97,All-rounder
Edward  Theuns,Lidl - Trek,4/30/91,Belgium,72,1.83,All-rounder
Thibau  Nys,Lidl - Trek,11/12/02,Belgium,64,1.76,All-rounder
Jasper  Stuyven,Lidl - Trek,4/17/92,Belgium,78,1.87,All-rounder
Simone  Consonni,Lidl - Trek,9/12/94,Italy,60,1.65,Sprinter
Jonathan  Milan,Lidl - Trek,10/1/00,Italy,87,1.96,Sprinter
Mattias  Skjelmose,Lidl - Trek,9/26/00,Denmark,65,1.8,Leader
Toms  Skujiņš,Lidl - Trek,6/15/91,Latvia,70,1.81,All-rounder
Quinn  Simmons,Lidl - Trek,5/8/01,United States,73,1.85,All-rounder
Lewis  Askey,Groupama - FDJ,5/4/01,Great Britain,75,1.87,All-rounder
Cyril  Barthe,Groupama - FDJ,2/14/96,France,70,1.84,Sprinter
Romain  Grégoire,Groupama - FDJ,1/21/03,France,64,1.76,All-rounder
Valentin  Madouas,Groupama - FDJ,7/12/96,France,71,1.79,All-rounder
Guillaume  Martin,Groupama - FDJ,6/9/93,France,55,1.73,Leader
Quentin  Pacher,Groupama - FDJ,1/6/92,France,62,1.79,All-rounder
Paul  Penhoët,Groupama - FDJ,12/28/01,France,64,1.73,Sprinter
Clément  Russo,Groupama - FDJ,1/20/95,France,74,1.87,All-rounder
Pablo  Castrillo,Movistar Team,1/2/01,Spain,74,1.83,Climber
Enric  Mas,Movistar Team,1/7/95,Spain,61,1.77,Leader
Nelson  Oliveira,Movistar Team,3/6/89,Portugal,67,1.8,All-rounder
Einer  Rubio,Movistar Team,2/22/98,Colombia,56,1.64,Climber
Iván  Romeo,Movistar Team,8/16/03,Spain,75,1.93,All-rounder
Gregor  Mühlberger,Movistar Team,4/4/94,Austria,64,1.8,All-rounder
Will  Barta,Movistar Team,1/4/96,United States,61,1.8,All-rounder
Iván  García Cortina,Movistar Team,11/20/95,Spain,77,1.83,Sprinter
Tobias Lund  Andresen,Team Picnic PostNL,8/20/02,Denmark,69,1.81,Sprinter
Frank van den Broek,Team Picnic PostNL,12/28/00,Netherlands,70,1.78,All-rounder
Tim  Naberman,Team Picnic PostNL,5/11/99,Netherlands,70,1.87,All-rounder
Warren  Barguil,Team Picnic PostNL,10/28/91,France,61,1.83,Climber
Sean  Flynn,Team Picnic PostNL,3/2/00,Great Britain,67,1.77,All-rounder
Oscar  Onley,Team Picnic PostNL,10/13/02,Great Britain,62,1.73,Leader
Pavel  Bittner,Team Picnic PostNL,10/29/02,Czech Republic,73,1.84,Sprinter
Niklas  Märkl,Team Picnic PostNL,3/3/99,Germany,70,1.85,All-rounder
Ben  O'Connor,Team Jayco AlUla,11/25/95,Australia,67,1.88,Leader
Luke  Plapp,Team Jayco AlUla,12/25/00,Australia,72,1.81,All-rounder
Mauro  Schmid,Team Jayco AlUla,12/4/99,Switzerland,70,1.87,Climber
Dylan  Groenewegen,Team Jayco AlUla,6/21/93,Netherlands,70,1.77,Sprinter
Eddie  Dunbar,Team Jayco AlUla,9/1/96,Ireland,57,1.7,Leader
Luke  Durbridge,Team Jayco AlUla,4/9/91,Australia,78,1.87,All-rounder
Luka  Mezgec,Team Jayco AlUla,6/27/88,Slovenia,72,1.83,Sprinter
Elmar  Reinders,Team Jayco AlUla,3/14/92,Netherlands,78.1,1.9,All-rounder
Lenny  Martinez,Bahrain - Victorious,7/11/03,France,52,1.68,Climber
Santiago  Buitrago,Bahrain - Victorious,9/26/99,Colombia,59,1.74,Leader
Matej  Mohorič,Bahrain - Victorious,10/19/94,Slovenia,71,1.86,All-rounder
Phil  Bauhaus,Bahrain - Victorious,7/8/94,Germany,75,1.84,Sprinter
Kamil  Gradek,Bahrain - Victorious,9/17/90,Poland,83,1.94,All-rounder
Jack  Haig,Bahrain - Victorious,9/6/93,Australia,67,1.9,Climber
Robert  Stannard,Bahrain - Victorious,9/16/98,Australia,74,1.79,All-rounder
Fred  Wright,Bahrain - Victorious,6/13/99,Great Britain,75,1.84,All-rounder
Simone  Velasco,XDS Astana Team,12/2/95,Italy,59,1.7,All-rounder
Harold  Tejada,XDS Astana Team,4/27/97,Colombia,63,1.8,Climber
Clément  Champoussin,XDS Astana Team,5/29/98,France,61,1.8,Climber
Sergio  Higuita,XDS Astana Team,8/1/97,Colombia,57,1.66,Climber
Mike  Teunissen,XDS Astana Team,8/25/92,Netherlands,73,1.84,Sprinter
Yevgeniy  Fedorov,XDS Astana Team,2/16/00,Kazakhstan,80,1.93,All-rounder
Davide  Ballerini,XDS Astana Team,9/21/94,Italy,71,1.83,All-rounder
Cees  Bol,XDS Astana Team,7/27/95,Netherlands,83,1.94,Sprinter
Arnaud De Lie,Lotto,3/16/02,Belgium,78,1.82,Sprinter
Lennert Van Eetvelt,Lotto,7/17/01,Belgium,63,1.76,Climber
Jasper De Buyst,Lotto,11/24/93,Belgium,72,1.79,All-rounder
Jenno  Berckmoes,Lotto,2/4/01,Belgium,61,1.77,Sprinter
Jarrad  Drizners,Lotto,5/31/99,Australia,70,1.86,All-rounder
Eduardo  Sepúlveda,Lotto,6/13/91,Argentina,59,1.73,Climber
Brent Van Moer,Lotto,1/12/98,Belgium,79,1.91,All-rounder
Sébastien  Grignard,Lotto,4/29/99,Belgium,68,1.79,Climber
Pascal  Ackermann,Israel - Premier Tech,1/17/94,Germany,78,1.8,Sprinter
Joseph  Blackmore,Israel - Premier Tech,2/23/03,Great Britain,66,1.81,Climber
Michael  Woods,Israel - Premier Tech,10/12/86,Canada,62,1.75,Leader
Alexey  Lutsenko,Israel - Premier Tech,9/7/92,Kazakhstan,74,1.74,Leader
Jake  Stewart,Israel - Premier Tech,10/2/99,Great Britain,66,1.79,Sprinter
Guillaume  Boivin,Israel - Premier Tech,5/25/89,Canada,78,1.8,All-rounder
Matis  Louvel,Israel - Premier Tech,7/19/99,France,77,1.87,All-rounder
Krists  Neilands,Israel - Premier Tech,8/18/94,Latvia,69,1.89,All-rounder
Mathieu  Burgaudeau,Team TotalEnergies,11/17/98,France,61,1.68,All-rounder
Anthony  Turgis,Team TotalEnergies,5/16/94,France,70,1.78,All-rounder
Jordan  Jegat,Team TotalEnergies,6/7/99,France,59,1.76,Leader
Alexandre  Delettre,Team TotalEnergies,10/25/97,France,62,1.7,All-rounder
Steff  Cras,Team TotalEnergies,2/13/96,Belgium,65,1.83,Leader
Julian  Alaphilippe,Tudor Pro Cycling Team,6/11/92,France,62,1.73,All-rounder
Alberto  Dainese,Tudor Pro Cycling Team,3/25/98,Italy,70,1.74,Sprinter
Marco  Haller,Tudor Pro Cycling Team,4/1/91,Austria,72,1.78,All-rounder
Marc  Hirschi,Tudor Pro Cycling Team,8/24/98,Switzerland,61,1.74,All-rounder
Fabian  Lienhard,Tudor Pro Cycling Team,9/3/93,Switzerland,73,1.83,All-rounder
Marius  Mayrhofer,Tudor Pro Cycling Team,9/18/00,Germany,70,1.82,All-rounder
Michael  Storer,Tudor Pro Cycling Team,2/28/97,Australia,63,1.74,Climber
Matteo  Trentin,Tudor Pro Cycling Team,8/2/89,Italy,74,1.79,Sprinter
Magnus  Cort,Uno-X Mobility,1/16/93,Denmark,68,1.84,All-rounder
Søren  Wærenskjold,Uno-X Mobility,3/12/00,Norway,92,1.95,All-rounder
Andreas  Leknessund,Uno-X Mobility,5/21/99,Norway,72,1.86,Climber
Tobias Halland  Johannessen,Uno-X Mobility,8/23/99,Norway,62,1.76,Leader
Jonas  Abrahamsen,Uno-X Mobility,9/20/95,Norway,78,1.83,All-rounder
Markus  Hoelgaard,Uno-X Mobility,10/4/94,Norway,74,1.88,All-rounder
Stian  Fredheim,Uno-X Mobility,3/23/03,Norway,72,1.84,Sprinter
