Name,Team,Birthdate,Nationality,Weight,Height,HeightC
Will  Barta,Movistar Team,1/4/96,United States,61,1.8,-1.4245810055866173
Iván  García Cortina,Movistar Team,11/20/95,Spain,77,1.83,1.5754189944133827
Tobias Lund  Andresen,Team Picnic PostNL,8/20/02,Denmark,69,1.81,-0.42458100558661727
Frank van den Broek,Team Picnic PostNL,12/28/00,Netherlands,70,1.78,-3.4245810055866173
Tim  Naberman,Team Picnic PostNL,5/11/99,Netherlands,70,1.87,5.575418994413383
Warren  Barguil,Team Picnic PostNL,10/28/91,France,61,1.83,1.5754189944133827
Sean  Flynn,Team Picnic PostNL,3/2/00,Great Britain,67,1.77,-4.424581005586617
Oscar  Onley,Team Picnic PostNL,10/13/02,Great Britain,62,1.73,-8.424581005586617
Pavel  Bittner,Team Picnic PostNL,10/29/02,Czech Republic,73,1.84,2.5754189944133827
Niklas  Märkl,Team Picnic PostNL,3/3/99,Germany,70,1.85,3.5754189944133827
Ben  O'Connor,Team Jayco AlUla,11/25/95,Australia,67,1.88,6.575418994413383
Luke  Plapp,Team Jayco AlUla,12/25/00,Australia,72,1.81,-0.42458100558661727
Mauro  Schmid,Team Jayco AlUla,12/4/99,Switzerland,70,1.87,5.575418994413383
Dylan  Groenewegen,Team Jayco AlUla,6/21/93,Netherlands,70,1.77,-4.424581005586617
Eddie  Dunbar,Team Jayco AlUla,9/1/96,Ireland,57,1.7,-11.424581005586617
Luke  Durbridge,Team Jayco AlUla,4/9/91,Australia,78,1.87,5.575418994413383
Luka  Mezgec,Team Jayco AlUla,6/27/88,Slovenia,72,1.83,1.5754189944133827
Elmar  Reinders,Team Jayco AlUla,3/14/92,Netherlands,78.1,1.9,8.575418994413383
Lenny  Martinez,Bahrain - Victorious,7/11/03,France,52,1.68,-13.424581005586617
Santiago  Buitrago,Bahrain - Victorious,9/26/99,Colombia,59,1.74,-7.424581005586617
Matej  Mohorič,Bahrain - Victorious,10/19/94,Slovenia,71,1.86,4.575418994413383
Phil  Bauhaus,Bahrain - Victorious,7/8/94,Germany,75,1.84,2.5754189944133827
Kamil  Gradek,Bahrain - Victorious,9/17/90,Poland,83,1.94,12.575418994413383
Jack  Haig,Bahrain - Victorious,9/6/93,Australia,67,1.9,8.575418994413383
Robert  Stannard,Bahrain - Victorious,9/16/98,Australia,74,1.79,-2.4245810055866173
Fred  Wright,Bahrain - Victorious,6/13/99,Great Britain,75,1.84,2.5754189944133827
Simone  Velasco,XDS Astana Team,12/2/95,Italy,59,1.7,-11.424581005586617
Harold  Tejada,XDS Astana Team,4/27/97,Colombia,63,1.8,-1.4245810055866173
Clément  Champoussin,XDS Astana Team,5/29/98,France,61,1.8,-1.4245810055866173
Sergio  Higuita,XDS Astana Team,8/1/97,Colombia,57,1.66,-15.424581005586617
Mike  Teunissen,XDS Astana Team,8/25/92,Netherlands,73,1.84,2.5754189944133827
Yevgeniy  Fedorov,XDS Astana Team,2/16/00,Kazakhstan,80,1.93,11.575418994413383
Davide  Ballerini,XDS Astana Team,9/21/94,Italy,71,1.83,1.5754189944133827
Cees  Bol,XDS Astana Team,7/27/95,Netherlands,83,1.94,12.575418994413383
Arnaud De Lie,Lotto,3/16/02,Belgium,78,1.82,0.5754189944133827
Lennert Van Eetvelt,Lotto,7/17/01,Belgium,63,1.76,-5.424581005586617
Jasper De Buyst,Lotto,11/24/93,Belgium,72,1.79,-2.4245810055866173
Jenno  Berckmoes,Lotto,2/4/01,Belgium,61,1.77,-4.424581005586617
Jarrad  Drizners,Lotto,5/31/99,Australia,70,1.86,4.575418994413383
Eduardo  Sepúlveda,Lotto,6/13/91,Argentina,59,1.73,-8.424581005586617
Brent Van Moer,Lotto,1/12/98,Belgium,79,1.91,9.575418994413383
Sébastien  Grignard,Lotto,4/29/99,Belgium,68,1.79,-2.4245810055866173
Pascal  Ackermann,Israel - Premier Tech,1/17/94,Germany,78,1.8,-1.4245810055866173
Joseph  Blackmore,Israel - Premier Tech,2/23/03,Great Britain,66,1.81,-0.42458100558661727
Michael  Woods,Israel - Premier Tech,10/12/86,Canada,62,1.75,-6.424581005586617
Alexey  Lutsenko,Israel - Premier Tech,9/7/92,Kazakhstan,74,1.74,-7.424581005586617
Jake  Stewart,Israel - Premier Tech,10/2/99,Great Britain,66,1.79,-2.4245810055866173
Guillaume  Boivin,Israel - Premier Tech,5/25/89,Canada,78,1.8,-1.4245810055866173
Matis  Louvel,Israel - Premier Tech,7/19/99,France,77,1.87,5.575418994413383
Krists  Neilands,Israel - Premier Tech,8/18/94,Latvia,69,1.89,7.575418994413383
Mathieu  Burgaudeau,Team TotalEnergies,11/17/98,France,61,1.68,-13.424581005586617
Anthony  Turgis,Team TotalEnergies,5/16/94,France,70,1.78,-3.4245810055866173
Jordan  Jegat,Team TotalEnergies,6/7/99,France,59,1.76,-5.424581005586617
Alexandre  Delettre,Team TotalEnergies,10/25/97,France,62,1.7,-11.424581005586617
Steff  Cras,Team TotalEnergies,2/13/96,Belgium,65,1.83,1.5754189944133827
Julian  Alaphilippe,Tudor Pro Cycling Team,6/11/92,France,62,1.73,-8.424581005586617
Alberto  Dainese,Tudor Pro Cycling Team,3/25/98,Italy,70,1.74,-7.424581005586617
Marco  Haller,Tudor Pro Cycling Team,4/1/91,Austria,72,1.78,-3.4245810055866173
Marc  Hirschi,Tudor Pro Cycling Team,8/24/98,Switzerland,61,1.74,-7.424581005586617
Fabian  Lienhard,Tudor Pro Cycling Team,9/3/93,Switzerland,73,1.83,1.5754189944133827
Marius  Mayrhofer,Tudor Pro Cycling Team,9/18/00,Germany,70,1.82,0.5754189944133827
Michael  Storer,Tudor Pro Cycling Team,2/28/97,Australia,63,1.74,-7.424581005586617
Matteo  Trentin,Tudor Pro Cycling Team,8/2/89,Italy,74,1.79,-2.4245810055866173
Magnus  Cort,Uno-X Mobility,1/16/93,Denmark,68,1.84,2.5754189944133827
Søren  Wærenskjold,Uno-X Mobility,3/12/00,Norway,92,1.95,13.575418994413383
Andreas  Leknessund,Uno-X Mobility,5/21/99,Norway,72,1.86,4.575418994413383
Tobias Halland  Johannessen,Uno-X Mobility,8/23/99,Norway,62,1.76,-5.424581005586617
Jonas  Abrahamsen,Uno-X Mobility,9/20/95,Norway,78,1.83,1.5754189944133827
Markus  Hoelgaard,Uno-X Mobility,10/4/94,Norway,74,1.88,6.575418994413383
Stian  Fredheim,Uno-X Mobility,3/23/03,Norway,72,1.84,2.5754189944133827
