age,sex,edu,race,income,us_residency,wb,mind,belong,efficacy,support,idea,soc_med,npi,moa_ach,moa_import
NA,female,"somecollege,notattending",white,"60-79,999",yes,5.5,2.666666667,3.7,3.4,66,3.375,31,1,38,67
NA,female,highschoolorless,white,"60-79,999",yes,5.166666667,4.333333333,3.5,3.5,52,4,41,2,41,78
NA,female,highschoolorless,white,"20-39,999",yes,5.166666667,3.466666667,3.6,3,62,3.75,31,7,42,58
21,female,highschoolorless,"1,3","20-39,999",yes,2.333333333,2.733333333,3.7,3.7,33,3.25,22,3,44,56
NA,male,highschoolorless,white,"100-199,999",yes,6,4.266666667,2.1,3.9,81,3.625,19,6,46,60
22,female,"somecollege,notattending",Hispanic,"40-59,999",no,4.666666667,3.866666667,1.8,3.4,67,3.125,30,2,55,74
22,female,"somecollege,notattending",Hispanic,"40-59,999",yes,1.5,3.466666667,4.5,2.2,76,3.5,40,0,46,70
22,male,highschoolorless,Hispanic,"under20,000",yes,1.166666667,2.733333333,4.1,2.9,36,2.75,42,1,37,64
22,female,highschoolorless,white,not say,yes,3.166666667,2.333333333,3.1,3.3,72,4,50,1,38,61
22,female,"somecollege,notattending","1,3","60-79,999",yes,3.833333333,2,3.2,3,52,4,31,5,47,55
22,female,"somecollege,notattending",Hispanic,not say,yes,1.833333333,3.733333333,3.9,3,43,4,52,7,38,73
24,female,highschoolorless,Asian-Pacific,not say,yes,5.666666667,4.8,2.8,3.4,84,4,35,4,46,77
22,male,"somecollege,notattending",Asian-Pacific,not say,yes,4,3.6,2.9,2.6,62,3.75,23,2,37,75
44,female,"somecollege,notattending",white,"100-199,999",yes,4,4.333333333,3.6,3.3,55,3.125,32,8,52,66
21,male,highschoolorless,white,"100-199,999",yes,5,5.333333333,1.9,3.1,69,3.75,16,0,41,59
22,male,"somecollege,notattending",Hispanic,"20-39,999",yes,3.333333333,3.066666667,1.6,3.7,73,3.375,38,7,44,64
30,female,highschoolorless,"3,5","60-79,999",yes,6.166666667,4.4,1.9,2.9,80,3.25,31,5,48,62
24,female,"somecollege,notattending",Hispanic,"40-59,999",yes,4.166666667,3,4.1,3,76,3.75,47,6,45,60
23,female,"somecollege,notattending",white,"under20,000",yes,1,2.466666667,3.5,3.8,36,2.875,23,3,45,74
24,female,"somecollege,notattending",Hispanic,"80-99,999",yes,5.666666667,4.933333333,1.8,3.7,65,3.625,18,1,50,75
26,female,"somecollege,notattending","1,3,5","20-39,999",yes,4.5,3.2,3,3,74,3.375,41,4,40,60
24,female,"somecollege,notattending","1,3","under20,000",yes,1,3.8,2.4,3.6,51,3.875,37,4,42,70
18,female,highschoolorless,white,"100-199,999",yes,4.833333333,3.6,4.1,3.3,58,2.875,35,8,38,59
NA,male,"somecollege,notattending",white,"20-39,999",yes,5.166666667,3.533333333,3,3.4,77,3.5,32,0,46,64
NA,female,"somecollege,notattending",white,"20-39,999",yes,4.666666667,4.933333333,2.3,3.1,84,2.75,28,4,52,62
NA,male,highschoolorless,white,not say,yes,4.333333333,3.333333333,4.4,2.8,63,3.375,37,2,48,61
NA,male,highschoolorless,white,"100-199,999",yes,6,3.4,3.9,3.6,74,3.375,41,5,50,72
18,female,highschoolorless,Hispanic,"60-79,999",yes,7,6,3,4,74,4,33,7,20,40
18,male,highschoolorless,white,"under20,000",yes,5.333333333,3.533333333,2.7,3,67,3.5,35,1,39,71
18,male,highschoolorless,white,"20-39,999",yes,3.833333333,3.266666667,3,3.3,43,3.5,33,0,40,78
37,female,"somecollege,notattending",Hispanic,"60-79,999",yes,6.666666667,3.4,3,3.5,69,2.875,30,2,50,69
21,female,highschoolorless,AfricanAmerican,not say,no,5.166666667,4.933333333,2.8,3.5,50,3.125,49,6,40,75
32,female,highschoolorless,other,not say,no,4.333333333,5.4,1.2,3,56,2.625,18,3,33,75
22,male,highschoolorless,AfricanAmerican,not say,no,3,4.333333333,1.7,3.4,57,3.75,35,3,43,70
23,female,highschoolorless,"1,2,6","40-59,999",no,6.666666667,3.8,1.8,3.7,84,3,28,6,43,78
26,female,highschoolorless,AfricanAmerican,not say,no,5.833333333,4.066666667,2.7,3.9,64,3.625,11,7,47,77
NA,female,"somecollege,notattending",white,"40-59,999",yes,4.666666667,4.133333333,4.7,3.8,32,3.75,42,2,34,64
19,male,highschoolorless,white,"60-79,999",yes,5.5,4.933333333,3.3,3,74,3.875,38,2,35,69
18,female,highschoolorless,white,not say,yes,2.333333333,1.666666667,3.8,2.8,60,4,46,1,43,60
NA,male,highschoolorless,white,"200-999,999",no,5.166666667,3,2.4,4,82,3.375,35,7,28,61
20,female,highschoolorless,white,not say,no,4.5,4.466666667,3.9,3.6,61,3.5,21,10,41,68
19,male,"somecollege,notattending",white,"40-59,999",yes,5.333333333,5.533333333,3.3,3.9,74,4,52,7,42,70
21,female,highschoolorless,AfricanAmerican,not say,yes,2,4.266666667,1.8,4,84,3.125,24,12,36,7
24,female,highschoolorless,AfricanAmerican,not say,yes,4.333333333,3.466666667,NA,3.222222222,79,3.625,27,4,42,1
18,female,highschoolorless,white,not say,yes,2.833333333,3.866666667,3.4,2.1,76,3.5,35,2,39,77
22,female,"somecollege,notattending",Hispanic,not say,yes,4.166666667,4.933333333,2.7,3.4,66,3.25,31,4,48,73
22,female,"somecollege,notattending","2,5","40-59,999",yes,5.333333333,2.466666667,2,3.7,55,4,39,5,46,65
24,female,"somecollege,notattending",Hispanic,"20-39,999",yes,4.833333333,3.733333333,3.5,2.5,69,3.5,38,5,40,73
21,male,highschoolorless,Hispanic,"under20,000",yes,1,2.133333333,1.8,2.6,12,3.25,55,7,27,46
NA,female,currentlyenrolled,white,"under20,000",yes,3.166666667,2.533333333,4.2,2.1,57,3.125,38,1,38,65
NA,female,currentlyenrolled,Hispanic,not say,yes,5,4.866666667,2.7,3.1,77,3.5,37,4,43,67
NA,female,currentlyenrolled,Hispanic,not say,yes,4.5,3.2,3.2,2.9,66,4,29,3,57,62
18,female,currentlyenrolled,Hispanic,not say,no,4.166666667,3,3,3,72,1.25,33,1,34,62
19,female,currentlyenrolled,white,"under20,000",yes,5.333333333,4.333333333,3.5,2.9,74,3.625,32,3,60,70
20,female,currentlyenrolled,white,"60-79,999",yes,4.833333333,3.266666667,3.2,3,71,3.25,27,5,31,60
22,female,currentlyenrolled,white,"60-79,999",no,2.666666667,3.866666667,3.4,2.8,54,3.5,33,3,30,64
20,male,currentlyenrolled,white,"40-59,999",no,1.666666667,4.2,4.7,1.5,59,2.625,36,11,28,42
22,female,currentlyenrolled,white,not say,no,5.166666667,3.2,2.8,2.8,65,2.875,23,2,29,62
26,male,currentlyenrolled,white,"under20,000",no,5.5,4.466666667,1.8,3.4,70,2.75,21,4,36,46
24,female,currentlyenrolled,other,not say,no,5,4.266666667,2.8,3.1,69,3.375,50,2,51,65
24,female,currentlyenrolled,white,"20-39,999",no,4.166666667,3.866666667,3.2,3.7,65,3.375,32,5,34,56
23,female,currentlyenrolled,white,not say,no,2.166666667,3.933333333,4.1,2.1,62,3.25,25,1,32,72
21,female,currentlyenrolled,white,not say,no,4.333333333,4.266666667,3.7,3.9,84,4,44,4,41,56
23,female,currentlyenrolled,white,"40-59,999",no,6.5,4.933333333,2.7,3.6,84,3.5,29,3,41,74
21,male,currentlyenrolled,white,"20-39,999",no,3.5,3.866666667,2.7,3.4,75,3.875,34,4,38,63
21,female,currentlyenrolled,white,"20-39,999",no,4.666666667,4.6,4.5,3.3,72,3.625,35,5,34,56
25,male,currentlyenrolled,white,not say,no,3,3.866666667,2.9,3,72,3.75,27,9,31,70
20,female,currentlyenrolled,white,not say,no,2,3.8,2.8,1.9,75,3.5,34,3,39,59
25,female,currentlyenrolled,white,not say,no,4.166666667,4.733333333,3.4,3,72,3.625,47,6,36,57
25,female,currentlyenrolled,white,"40-59,999",no,3.166666667,3.866666667,3.4,2.9,79,3.75,40,3,40,73
23,female,currentlyenrolled,white,not say,no,6.166666667,4.4,3.5,3.2,83,4,49,10,37,65
24,male,currentlyenrolled,white,"20-39,999",no,2.5,4.2,2.7,3.7,59,3.875,23,4,42,64
23,female,currentlyenrolled,white,"20-39,999",no,6.5,4.333333333,3.7,3,76,3.875,36,3,37,57
23,female,currentlyenrolled,white,not say,no,5.666666667,4.266666667,3.5,2.8,75,3.625,32,2,32,43
22,female,currentlyenrolled,white,"under20,000",no,5,4.266666667,3.3,3.1,81,3.75,23,0,35,64
22,female,currentlyenrolled,AfricanAmerican,"under20,000",no,3.5,3.533333333,3.1,2.7,64,3.75,31,1,37,77
23,female,currentlyenrolled,white,not say,no,5.166666667,3.6,3.6,3.3,76,3.375,44,3,37,76
23,female,currentlyenrolled,other,"20-39,999",no,4.333333333,4.8,1.5,4,81,3.125,26,6,28,59
22,female,currentlyenrolled,white,not say,no,6,4.6,3.7,3,80,3.375,30,5,29,71
25,female,currentlyenrolled,white,"under20,000",no,4.166666667,4.733333333,3.3,3.4,73,2.75,27,5,35,69
23,female,currentlyenrolled,white,not say,no,5.5,4.6,4,2.7,80,3.625,38,1,39,76
21,female,currentlyenrolled,"1,3","100-199,999",yes,5,3.4,2.9,3,72,3.375,37,1,40,71
24,female,currentlyenrolled,white,"under20,000",no,5.833333333,4.6,3.6,3.3,79,4,40,6,43,69
22,female,currentlyenrolled,white,not say,no,3.333333333,2.866666667,4.1,3.1,76,3.875,27,3,37,68
22,female,currentlyenrolled,other,not say,no,5.166666667,2.2,4.2,2.8,67,3.75,35,3,32,46
23,female,currentlyenrolled,white,not say,no,4,3.4,4.2,2.4,54,3.25,13,4,27,67
23,female,currentlyenrolled,other,not say,no,2.666666667,3.4,3.5,2.8,47,3.75,35,1,39,58
22,female,currentlyenrolled,white,"20-39,999",no,5.5,3,3.8,3,73,3,43,2,39,74
23,male,currentlyenrolled,white,not say,no,1.833333333,2.2,3.8,2.2,62,3.75,34,4,33,61
22,female,currentlyenrolled,white,not say,no,5.833333333,1.6,2,3.1,32,2.75,37,8,29,48
19,male,currentlyenrolled,white,not say,no,3.5,4.2,3.2,3.6,47,4,39,5,33,67
19,female,currentlyenrolled,white,"20-39,999",no,2.166666667,4.133333333,3.7,2.5,66,3.75,35,9,34,71
22,female,currentlyenrolled,white,"60-79,999",no,5.166666667,4.333333333,3,2.9,59,3,19,4,40,57
18,female,currentlyenrolled,white,not say,no,3.166666667,2.733333333,3.2,3.6,51,3.75,29,7,35,66
20,female,currentlyenrolled,other,not say,no,3.833333333,3.866666667,2.9,2.4,68,3.25,33,2,37,64
19,female,currentlyenrolled,white,"under20,000",no,1.833333333,5.2,3.1,2.5,65,3.125,26,3,38,47
18,female,currentlyenrolled,white,not say,no,3.5,4.533333333,3.8,2.5,60,3.625,29,2,31,67
18,male,currentlyenrolled,white,"80-99,999",no,3.666666667,3.2,3.4,3,72,3.5,37,4,47,62
19,female,currentlyenrolled,"1,6",not say,no,4.833333333,4.866666667,2.5,3.7,53,3.375,29,1,48,59
18,female,currentlyenrolled,white,"under20,000",no,4,4.466666667,4.2,3,83,3.75,42,2,36,78
26,male,currentlyenrolled,other,not say,no,3,2.4,2.4,2.4,55,2.625,36,3,39,75
20,female,currentlyenrolled,white,"20-39,999",no,4.333333333,2.4,2.6,3.4,72,3.75,47,4,38,64
18,female,currentlyenrolled,white,"under20,000",no,4.5,3.8,2.5,2.9,68,3.625,30,3,34,63
NA,female,currentlyenrolled,white,not say,yes,5.833333333,4.6,2.8,3.3,74,2.75,28,2,42,57
NA,other,currentlyenrolled,white,"under20,000",yes,4.666666667,3.533333333,3.4,3.6,50,4,29,5,37,63
NA,female,currentlyenrolled,Hispanic,"20-39,999",yes,5.166666667,3.733333333,3.3,3,65,3.25,31,1,37,63
NA,male,currentlyenrolled,Hispanic,"20-39,999",yes,4.5,3.533333333,3.3,3,59,3.25,41,4,35,63
NA,female,currentlyenrolled,Hispanic,"40-59,999",yes,1.833333333,4,2.5,3.4,52,3.375,25,6,36,57
NA,female,currentlyenrolled,AfricanAmerican,not say,yes,4.166666667,2.666666667,3.7,3,69,4,46,2,53,70
NA,male,currentlyenrolled,white,not say,yes,4.666666667,3,2.7,3.3,49,3.25,24,9,30,58
NA,female,currentlyenrolled,"1,3","under20,000",yes,5,4.333333333,3.5,3.3,60,3.625,30,0,42,65
NA,female,currentlyenrolled,"1,3","under20,000",yes,6.5,4.266666667,2.3,3.6,69,3.625,21,1,40,64
NA,female,currentlyenrolled,white,"under20,000",yes,6.333333333,4.666666667,2.6,3.8,72,3.125,31,2,47,71
NA,female,currentlyenrolled,white,"40-59,999",yes,4.333333333,4.466666667,4,3.7,44,3.125,18,1,48,73
NA,male,currentlyenrolled,Hispanic,not say,yes,5.666666667,4.333333333,2,3.8,80,4,43,6,44,72
NA,male,currentlyenrolled,other,"20-39,999",yes,6.833333333,4.6,1.4,3.9,70,2,21,5,50,73
NA,female,currentlyenrolled,white,"80-99,999",yes,3.666666667,3,3.4,3,51,4,44,8,39,70
NA,female,currentlyenrolled,white,"100-199,999",yes,4.833333333,2.933333333,2.7,3,69,3.625,29,3,31,71
NA,male,currentlyenrolled,"1,5",not say,yes,3,3.8,3.6,3.5,51,3.875,35,1,37,71
NA,female,currentlyenrolled,Native,not say,yes,6,5.133333333,2.7,3.5,76,3.25,34,3,47,71
NA,male,currentlyenrolled,white,"under20,000",yes,3.5,3,3.2,3.1,57,3.875,19,4,40,53
NA,male,currentlyenrolled,white,not say,yes,5.5,4.4,2.5,3.7,69,3.875,27,6,40,71
NA,female,currentlyenrolled,"1,3","20-39,999",yes,4.833333333,4.8,3.4,3.5,62,3.25,32,6,40,68
NA,male,currentlyenrolled,white,not say,yes,5.666666667,3.533333333,3.6,3.4,79,3.75,38,4,41,60
NA,female,currentlyenrolled,white,"20-39,999",yes,5,2.4,3.4,2.8,73,3.625,35,4,45,73
NA,male,currentlyenrolled,Hispanic,"under20,000",yes,3.5,5.2,2.6,3,78,3.375,55,7,37,72
NA,female,currentlyenrolled,"1,2",not say,yes,4.333333333,3,3,2.2,67,3.375,36,4,38,67
NA,male,currentlyenrolled,Hispanic,"40-59,999",yes,4.666666667,3.933333333,3.8,3.2,58,3.375,37,7,44,60
NA,female,currentlyenrolled,"3,5",not say,yes,5.5,5.2,2.8,2.9,30,3.5,31,2,45,47
NA,female,currentlyenrolled,white,"under20,000",yes,6.833333333,3.8,3,4,84,3.875,55,4,58,75
NA,female,currentlyenrolled,"1,3","under20,000",yes,3.333333333,2.533333333,3.3,3,72,3.75,30,10,37,73
NA,female,currentlyenrolled,white,"40-59,999",yes,3.5,4.2,4.2,3,57,3.75,36,0,33,59
NA,female,currentlyenrolled,white,"under20,000",yes,5.166666667,3.533333333,3.3,2.9,65,3.625,32,9,39,69
NA,female,currentlyenrolled,white,"20-39,999",yes,5.5,2,2.6,3.3,57,4,29,5,39,52
NA,male,currentlyenrolled,white,not say,yes,4.833333333,3.8,2.6,3.2,47,3,29,1,40,70
NA,female,currentlyenrolled,Hispanic,not say,yes,4.333333333,3,1.9,2.7,45,3.125,23,3,40,53
NA,female,currentlyenrolled,"1,3","under20,000",yes,3.833333333,3,3.8,2.9,68,3.375,30,10,40,66
NA,female,currentlyenrolled,"1,4","40-59,999",yes,4.5,3.2,2.4,3.4,74,3.5,26,2,44,45
NA,female,currentlyenrolled,AfricanAmerican,"20-39,999",yes,3.5,3.066666667,2.5,2.9,57,3.625,34,6,46,70
NA,female,currentlyenrolled,white,"under20,000",yes,4.833333333,4.8,3,3.3,67,2.75,11,4,47,69
NA,female,currentlyenrolled,Hispanic,"under20,000",yes,4.666666667,2.533333333,2.1,2.3,59,3.5,26,2,37,60
NA,female,currentlyenrolled,white,not say,yes,2.833333333,3,2.6,3.3,51,3.625,16,1,38,70
NA,female,currentlyenrolled,"1,2,5","100-199,999",yes,5.833333333,4.2,2.8,3.4,72,3.5,23,1,37,66
NA,male,currentlyenrolled,white,"200-999,999",yes,5,3.266666667,2.1,3.4,73,3.625,31,10,42,62
NA,female,currentlyenrolled,"1,3","under20,000",yes,5.166666667,4.733333333,3.1,3.8,75,4,54,4,47,69
NA,female,currentlyenrolled,"3,4","100-199,999",yes,4.333333333,3.333333333,3,2.7,69,3.875,27,4,36,75
NA,female,currentlyenrolled,white,"under20,000",yes,4.5,3.6,3.6,3.4,67,3.625,38,9,43,67
NA,female,currentlyenrolled,"1,3",not say,yes,5.333333333,3.866666667,2.9,3.6,61,4,34,4,39,63
NA,female,currentlyenrolled,white,"20-39,999",yes,4.5,3.066666667,3.5,3.7,70,3.875,42,3,37,67
NA,female,currentlyenrolled,"1,3","20-39,999",yes,2.666666667,2.6,3.8,2.6,63,3.625,36,1,34,68
NA,female,currentlyenrolled,white,not say,yes,3.5,2.266666667,3,3.5,74,3.75,36,2,32,51
NA,female,currentlyenrolled,"1,3","under20,000",yes,3.166666667,2.4,4.1,2.9,49,3.875,31,6,39,56
NA,female,currentlyenrolled,white,"under20,000",yes,4.833333333,3.333333333,3.2,3.3,68,3.5,28,2,37,66
NA,male,currentlyenrolled,white,"100-199,999",yes,5,3.133333333,2.6,3.4,59,3.625,38,2,35,72
NA,female,currentlyenrolled,white,"under20,000",yes,6.166666667,3.866666667,3.4,3.5,69,3.75,27,1,41,73
NA,male,currentlyenrolled,white,"under20,000",yes,4.333333333,2.866666667,2.6,4,79,4,34,8,45,67
NA,female,currentlyenrolled,"1,4",not say,yes,5.5,3.466666667,1.9,3.3,43,3.125,11,2,37,72
NA,female,currentlyenrolled,Hispanic,"20-39,999",yes,5.166666667,4.133333333,2.7,2.8,70,3.25,31,3,47,71
NA,male,currentlyenrolled,white,"100-199,999",yes,4.5,4.533333333,2.6,3,65,3.375,39,3,39,58
NA,female,currentlyenrolled,white,"60-79,999",yes,5.833333333,3.533333333,3.2,3.5,79,3.5,40,3,37,73
NA,male,currentlyenrolled,"1,2,4,5","40-59,999",yes,5.5,4.4,3.7,3.5,82,3.875,27,6,38,78
21,male,currentlyenrolled,white,"80-99,999",yes,4,2.733333333,3.8,3,43,3.375,32,4,34,57
18,female,currentlyenrolled,white,"20-39,999",yes,5.666666667,5.066666667,3.7,3.6,66,3.375,29,1,43,71
50,female,currentlyenrolled,white,"under20,000",yes,5.666666667,4.333333333,2.5,3.4,57,2.5,23,2,51,61
23,male,currentlyenrolled,"1,5","100-199,999",yes,5.333333333,4,3.5,3.1,58,3.875,42,1,42,69
19,female,currentlyenrolled,white,not say,yes,3.333333333,3.266666667,4.6,3.2,78,3.625,38,1,36,62
19,female,currentlyenrolled,Hispanic,"80-99,999",yes,3.5,3.2,3.5,2.8,55,4,42,8,35,71
18,female,currentlyenrolled,white,"80-99,999",yes,2.833333333,4.8,3.8,3.7,61,3.625,43,4,40,70
21,female,currentlyenrolled,Native,"40-59,999",yes,3.833333333,3.2,3.3,3.8,84,3.5,37,4,36,62
18,female,currentlyenrolled,white,not say,yes,6.166666667,4.6,3.2,3.3,76,3.625,31,7,39,73
18,female,currentlyenrolled,white,not say,yes,6.166666667,2.933333333,4.2,3.1,64,3.75,30,6,40,70
20,female,currentlyenrolled,"1,3,5","under20,000",yes,6.5,5.333333333,1.6,3.9,48,3.25,24,7,50,52
22,female,currentlyenrolled,white,"under20,000",yes,5.166666667,2.4,3.8,2.9,66,3.75,39,8,36,52
18,female,currentlyenrolled,Hispanic,"under20,000",yes,5.666666667,5.066666667,2.5,3.2,79,3.625,20,0,39,77
20,female,currentlyenrolled,Hispanic,not say,yes,4.5,3.8,2.2,2.7,42,3,26,3,37,64
22,female,currentlyenrolled,Hispanic,"40-59,999",yes,4.833333333,5,1.7,3.6,82,3.75,28,1,41,72
20,female,currentlyenrolled,AfricanAmerican,"20-39,999",yes,2.333333333,2.666666667,2.6,2.5,49,4,18,4,32,49
21,male,currentlyenrolled,white,"under20,000",yes,3.166666667,3.8,2.2,3.4,55,2.25,33,4,38,63
18,female,currentlyenrolled,white,not say,yes,6.333333333,3.866666667,3.6,3,67,4,51,7,28,62
21,female,currentlyenrolled,"1,4",not say,yes,5.333333333,3.733333333,2.4,3,38,3.375,11,2,37,69
18,female,currentlyenrolled,"1,3,4","20-39,999",yes,2.833333333,3.2,3.3,2.8,56,4,35,2,32,71
18,female,currentlyenrolled,"1,2","100-199,999",yes,5.333333333,3.8,2.8,3,58,3.25,37,5,39,74
20,male,currentlyenrolled,white,"20-39,999",no,4.666666667,1.933333333,2.8,2.6,69,3.25,30,1,40,73
21,female,currentlyenrolled,white,"under20,000",yes,5,3,3.5,2.4,68,3.5,45,1,57,64
21,female,currentlyenrolled,AfricanAmerican,"100-199,999",yes,5.666666667,2.733333333,2.6,3.9,84,3.5,49,8,37,78
22,male,currentlyenrolled,white,"100-199,999",yes,2.666666667,2.666666667,2.4,3.1,77,3.75,31,0,38,59
27,male,currentlyenrolled,"1,3","under20,000",yes,5.666666667,3.4,3.2,3.3,80,3.5,32,3,41,72
18,female,currentlyenrolled,white,"40-59,999",yes,5.166666667,3.866666667,2.9,3,71,3.5,32,3,35,65
21,female,currentlyenrolled,white,"under20,000",yes,1.666666667,2,5,2.7,53,3.375,38,5,36,59
22,male,currentlyenrolled,white,"20-39,999",yes,5.166666667,3,2.6,3,71,3.5,26,0,37,54
